id,scenario,owner_kind,owner_name,initial_preference_weight,declared_aggregation,rubric_name,description,mode,max_score,run_condition,reference_final_selected,required_context,configured_model,callable_name,source_path,source_line,definition_sha256,port_disposition
icaap/preference/00/00,icaap,preference,quality,0.4,weighted_average,seeking_sourcing,,callable,3.0,on_completion,True,,,evidence_seeking_behavior,examples/end_to_end_examples/standard_rules.py,82,350f79ebd9011e0f488563d715264edb2dea67f602666708ae2656d2f25fc3f2,faithful_definition_native_criterion
icaap/preference/00/01,icaap,preference,quality,0.4,weighted_average,capital_adequacy_soundness,,llm,10.0,on_completion,True,,o3,,,,cea7459d2f3967a28bb3239b782e7790582c072c1adfebc32a50b2d4e37b4718,faithful_definition_native_criterion
icaap/preference/00/02,icaap,preference,quality,0.4,weighted_average,assumptions_completeness_justification,,llm,5.0,on_completion,True,,o3,,,,3bbad85b825be88ac09adde7c134a2c4e78315b069f52434a20010dca5a21caf,faithful_definition_native_criterion
icaap/preference/00/03,icaap,preference,quality,0.4,weighted_average,sensitivity_analysis_depth,,llm,6.0,on_completion,True,,o3,,,,7334c169fe958f5c8aaacfd29ff37197cb1e6ebcab00ad7d859f4e4161f85898,faithful_definition_native_criterion
icaap/preference/00/04,icaap,preference,quality,0.4,weighted_average,reproducibility_procedural_integrity,,callable,1.0,on_completion,True,,,create_preferences.<locals>.quality_seed_rule,examples/end_to_end_examples/icap/preferences.py,103,209bbc2bc6dcdc16e6b952c774b35f3d10af433a4cd9010063829329575b59b1,faithful_definition_native_criterion
icaap/preference/00/05,icaap,preference,quality,0.4,weighted_average,scenario_coverage,,llm,10.0,on_completion,True,,o3,,,,9debcae1953e2a2db1fb789c4321dd5ce359fb0d380aaf367b216d3186c8650c,faithful_definition_native_criterion
icaap/preference/00/06,icaap,preference,quality,0.4,weighted_average,risk_type_coverage,,llm,10.0,on_completion,True,,o3,,,,062c7f0997385c27f3ee5de7ddda2143ff0adfc8ed8882d731ef07a3738cf902,faithful_definition_native_criterion
icaap/preference/00/07,icaap,preference,quality,0.4,weighted_average,mgmt_actions_linkage,,llm,10.0,on_completion,True,,o3,,,,ead68e546d840dbb5031af27c07f5d292174adab262a777da60883ddb6bf51b7,faithful_definition_native_criterion
icaap/preference/00/08,icaap,preference,quality,0.4,weighted_average,stress_testing_completeness,,llm,10.0,on_completion,True,,o3,,,,9b461486c5242a37a1a9d75764ad5fa1c6d43d6a4a8836bd39233f7a7ab54450,faithful_definition_native_criterion
icaap/preference/00/09,icaap,preference,quality,0.4,weighted_average,artifact_density_quality,,callable,1.0,on_completion,True,,,create_preferences.<locals>.quality_resource_density,examples/end_to_end_examples/icap/preferences.py,120,b695a0e6809e59562faa2a624c6d8e90f1bc6e95b81d4e9c22237127e0f5d556,faithful_definition_native_criterion
